File_name	Sample_name	Group	Batch	Reference	Order	Block
Kennedy_012520_Pool.mzML	Pool_Pool_1	Pool	1	N	114	Pool
Kennedy_012520_Pool_20200503043633.mzML	Pool_Pool_2	Pool	1	N	115	Pool
Kennedy_012520_Pool_20200503215540.mzML	Pool_Pool_3	Pool	1	N	116	Pool
Kennedy_012520_Pool_20200505025223.mzML	Pool_Pool_4	Pool	1	N	117	Pool
Kennedy_012520_Pool_20200505201144.mzML	Pool_Pool_5	Pool	1	N	118	Pool
Kennedy_012520_Sample_1.mzML	Infect_191_1	Infect	1	N	1	191
Kennedy_012520_Sample_2.mzML	Infect_191_2	Infect	1	N	2	191
Kennedy_012520_Sample_3.mzML	Infect_191_3	Infect	1	N	3	191
Kennedy_012520_Sample_4.mzML	Infect_191_4	Infect	1	N	4	191
Kennedy_012520_Sample_5.mzML	Infect_191_5	Infect	1	N	5	191
Kennedy_012520_Sample_6.mzML	Infect_193_1	Infect	1	N	6	193
Kennedy_012520_Sample_7.mzML	Infect_193_2	Infect	1	N	7	193
Kennedy_012520_Sample_8.mzML	Infect_193_3	Infect	1	N	8	193
Kennedy_012520_Sample_9.mzML	Infect_193_4	Infect	1	N	9	193
Kennedy_012520_Sample_10.mzML	Infect_193_5	Infect	1	N	10	193
Kennedy_012520_Sample_11.mzML	Infect_196_1	Infect	1	N	11	196
Kennedy_012520_Sample_12.mzML	Infect_196_2	Infect	1	N	12	196
Kennedy_012520_Sample_13.mzML	Infect_196_3	Infect	1	N	13	196
Kennedy_012520_Sample_14.mzML	Infect_196_4	Infect	1	N	14	196
Kennedy_012520_Sample_15.mzML	Infect_196_5	Infect	1	N	15	196
Kennedy_012520_Sample_16.mzML	Infect_201_1	Infect	1	N	16	201
Kennedy_012520_Sample_17.mzML	Infect_201_2	Infect	1	N	17	201
Kennedy_012520_Sample_18.mzML	Infect_201_3	Infect	1	N	18	201
Kennedy_012520_Sample_19.mzML	Infect_201_4	Infect	1	N	19	201
Kennedy_012520_Sample_20.mzML	Infect_201_5	Infect	1	N	20	201
Kennedy_012520_Sample_21.mzML	Infect_205_1	Infect	1	N	21	205
Kennedy_012520_Sample_22.mzML	Infect_205_2	Infect	1	N	22	205
Kennedy_012520_Sample_23.mzML	Infect_205_3	Infect	1	N	23	205
Kennedy_012520_Sample_24.mzML	Infect_205_4	Infect	1	N	24	205
Kennedy_012520_Sample_25.mzML	Infect_205_5	Infect	1	N	25	205
Kennedy_012520_Sample_26.mzML	Infect_207_1	Infect	1	N	26	207
Kennedy_012520_Sample_27.mzML	Infect_207_2	Infect	1	N	27	207
Kennedy_012520_Sample_28.mzML	Infect_207_3	Infect	1	N	28	207
Kennedy_012520_Sample_29.mzML	Infect_207_4	Infect	1	N	29	207
Kennedy_012520_Sample_30.mzML	Infect_207_5	Infect	1	N	30	207
Kennedy_012520_Sample_31.mzML	Infect_209_1	Infect	1	N	31	209
Kennedy_012520_Sample_32.mzML	Infect_209_2	Infect	1	N	32	209
Kennedy_012520_Sample_33.mzML	Infect_209_3	Infect	1	N	33	209
Kennedy_012520_Sample_34.mzML	Infect_209_4	Infect	1	N	34	209
Kennedy_012520_Sample_35.mzML	Infect_209_5	Infect	1	N	35	209
Kennedy_012520_Sample_36.mzML	Infect_210_1	Infect	1	N	36	210
Kennedy_012520_Sample_37.mzML	Infect_210_2	Infect	1	N	37	210
Kennedy_012520_Sample_38.mzML	Infect_210_3	Infect	1	N	38	210
Kennedy_012520_Sample_39.mzML	Infect_210_4	Infect	1	N	39	210
Kennedy_012520_Sample_40.mzML	Infect_210_5	Infect	1	N	40	210
Kennedy_012520_Sample_41.mzML	Infect_219_1	Infect	1	N	41	219
Kennedy_012520_Sample_42.mzML	Infect_219_2	Infect	1	N	42	219
Kennedy_012520_Sample_43.mzML	Infect_219_3	Infect	1	N	43	219
Kennedy_012520_Sample_44.mzML	Infect_219_4	Infect	1	N	44	219
Kennedy_012520_Sample_45.mzML	Infect_219_5	Infect	1	N	45	219
Kennedy_012520_Sample_46.mzML	Control_191_1	Control	1	N	46	191
Kennedy_012520_Sample_47.mzML	Control_191_2	Control	1	N	47	191
Kennedy_012520_Sample_48.mzML	Control_191_3	Control	1	N	48	191
Kennedy_012520_Sample_49.mzML	Control_191_4	Control	1	N	49	191
Kennedy_012520_Sample_50.mzML	Control_193_5	Control	1	N	50	193
Kennedy_012520_Sample_51.mzML	Control_193_1	Control	1	N	51	193
Kennedy_012520_Sample_52.mzML	Control_193_2	Control	1	N	52	193
Kennedy_012520_Sample_53.mzML	Control_193_3	Control	1	N	53	193
Kennedy_012520_Sample_54.mzML	Control_196_1	Control	1	N	54	196
Kennedy_012520_Sample_55.mzML	Control_196_2	Control	1	N	55	196
Kennedy_012520_Sample_56.mzML	Control_196_3	Control	1	N	56	196
Kennedy_012520_Sample_57.mzML	Control_196_4	Control	1	N	57	196
Kennedy_012520_Sample_58.mzML	Control_201_1	Control	1	N	58	201
Kennedy_012520_Sample_59.mzML	Control_201_2	Control	1	N	59	201
Kennedy_012520_Sample_60.mzML	Control_201_3	Control	1	N	60	201
Kennedy_012520_Sample_61.mzML	Control_201_4	Control	1	N	61	201
Kennedy_012520_Sample_62.mzML	Control_205_1	Control	1	N	62	205
Kennedy_012520_Sample_63.mzML	Control_205_2	Control	1	N	63	205
Kennedy_012520_Sample_64.mzML	Control_205_3	Control	1	N	64	205
Kennedy_012520_Sample_65.mzML	Control_205_4	Control	1	N	65	205
Kennedy_012520_Sample_66.mzML	Control_207_1	Control	1	N	66	207
Kennedy_012520_Sample_67.mzML	Control_207_2	Control	1	N	67	207
Kennedy_012520_Sample_68.mzML	Control_207_3	Control	1	N	68	207
Kennedy_012520_Sample_69.mzML	Control_207_4	Control	1	N	69	207
Kennedy_012520_Sample_70.mzML	Control_209_1	Control	1	N	70	209
Kennedy_012520_Sample_71.mzML	Control_209_2	Control	1	N	71	209
Kennedy_012520_Sample_72.mzML	Control_209_3	Control	1	N	72	209
Kennedy_012520_Sample_73.mzML	Control_209_4	Control	1	N	73	209
Kennedy_012520_Sample_74.mzML	Control_210_1	Control	1	N	74	210
Kennedy_012520_Sample_75.mzML	Control_210_2	Control	1	N	75	210
Kennedy_012520_Sample_76.mzML	Control_210_3	Control	1	N	76	210
Kennedy_012520_Sample_77.mzML	Control_210_4	Control	1	N	77	210
Kennedy_012520_Sample_78.mzML	Control_219_1	Control	1	N	78	219
Kennedy_012520_Sample_79.mzML	Control_219_2	Control	1	N	79	219
Kennedy_012520_Sample_80.mzML	Control_219_3	Control	1	N	80	219
Kennedy_012520_Sample_81.mzML	Control_219_4	Control	1	N	81	219
Kennedy_012520_Sample_82.mzML	IL13_191_1	IL13	1	N	82	191
Kennedy_012520_Sample_83.mzML	IL13_191_2	IL13	1	N	83	191
Kennedy_012520_Sample_84.mzML	IL13_191_3	IL13	1	N	84	191
Kennedy_012520_Sample_85.mzML	IL13_191_4	IL13	1	N	85	191
Kennedy_012520_Sample_86.mzML	IL13_193_1	IL13	1	N	86	193
Kennedy_012520_Sample_87.mzML	IL13_193_2	IL13	1	N	87	193
Kennedy_012520_Sample_88.mzML	IL13_193_3	IL13	1	N	88	193
Kennedy_012520_Sample_89.mzML	IL13_193_4	IL13	1	N	89	193
Kennedy_012520_Sample_90.mzML	IL13_199_1	IL13	1	N	90	199
Kennedy_012520_Sample_91.mzML	IL13_199_2	IL13	1	N	91	199
Kennedy_012520_Sample_92.mzML	IL13_199_3	IL13	1	N	92	199
Kennedy_012520_Sample_93.mzML	IL13_199_4	IL13	1	N	93	199
Kennedy_012520_Sample_94.mzML	IL13_201_1	IL13	1	N	94	201
Kennedy_012520_Sample_95.mzML	IL13_201_2	IL13	1	N	95	201
Kennedy_012520_Sample_96.mzML	IL13_201_3	IL13	1	N	96	201
Kennedy_012520_Sample_97.mzML	IL13_201_4	IL13	1	N	97	201
Kennedy_012520_Sample_98.mzML	IL13_205_1	IL13	1	N	98	205
Kennedy_012520_Sample_99.mzML	IL13_205_2	IL13	1	N	99	205
Kennedy_012520_Sample_100.mzML	IL13_205_3	IL13	1	N	100	205
Kennedy_012520_Sample_101.mzML	IL13_205_4	IL13	1	N	101	205
Kennedy_012520_Sample_102.mzML	IL13_207_1	IL13	1	N	102	207
Kennedy_012520_Sample_103.mzML	IL13_207_2	IL13	1	N	103	207
Kennedy_012520_Sample_104.mzML	IL13_207_3	IL13	1	N	104	207
Kennedy_012520_Sample_105.mzML	IL13_207_4	IL13	1	N	105	207
Kennedy_012520_Sample_106.mzML	IL13_209_1	IL13	1	N	106	209
Kennedy_012520_Sample_107.mzML	IL13_209_2	IL13	1	N	107	209
Kennedy_012520_Sample_108.mzML	IL13_209_3	IL13	1	N	108	209
Kennedy_012520_Sample_109.mzML	IL13_209_4	IL13	1	N	109	209
