File_name	Sample_name	Type	Group	Batch	Reference	Order	Phenotype	Timepoint	Block
Kong_042920_DIA_01.mzML	C_218_1	Lysate	C_1	1	N	1	C	1	218
Kong_042920_DIA_08.mzML	C_225_1	Lysate	C_1	1	N	8	C	1	225
Kong_042920_DIA_15.mzML	C_246_1	Lysate	C_1	1	N	15	C	1	246
Kong_042920_DIA_22.mzML	C_256_1	Lysate	C_1	1	N	22	C	1	256
Kong_042920_DIA_29.mzML	C_290_1	Lysate	C_1	1	N	29	C	1	290
Kong_042920_DIA_36.mzML	C_302_1	Lysate	C_1	1	N	36	C	1	302
Kong_042920_DIA_43.mzML	C_322_1	Lysate	C_1	1	N	43	C	1	322
Kong_042920_DIA_50.mzML	C_328_1	Lysate	C_1	1	N	50	C	1	328
Kong_042920_DIA_57.mzML	C_344_1	Lysate	C_1	1	N	57	C	1	344
Kong_042920_DIA_64.mzML	C_372_1	Lysate	C_1	1	N	64	C	1	372
Kong_042920_DIA_71.mzML	C_382_1	Lysate	C_1	1	N	71	C	1	382
Kong_042920_DIA_78.mzML	C_385_1	Lysate	C_1	1	N	78	C	1	385
Kong_042920_DIA_02.mzML	C_218_2	Lysate	C_2	1	N	2	C	2	218
Kong_042920_DIA_09.mzML	C_225_2	Lysate	C_2	1	N	9	C	2	225
Kong_042920_DIA_16.mzML	C_246_2	Lysate	C_2	1	N	16	C	2	246
Kong_042920_DIA_23.mzML	C_256_2	Lysate	C_2	1	N	23	C	2	256
Kong_042920_DIA_30.mzML	C_290_2	Lysate	C_2	1	N	30	C	2	290
Kong_042920_DIA_37.mzML	C_302_2	Lysate	C_2	1	N	37	C	2	302
Kong_042920_DIA_44.mzML	C_322_2	Lysate	C_2	1	N	44	C	2	322
Kong_042920_DIA_51.mzML	C_328_2	Lysate	C_2	1	N	51	C	2	328
Kong_042920_DIA_58.mzML	C_344_2	Lysate	C_2	1	N	58	C	2	344
Kong_042920_DIA_65.mzML	C_372_2	Lysate	C_2	1	N	65	C	2	372
Kong_042920_DIA_72.mzML	C_382_2	Lysate	C_2	1	N	72	C	2	382
Kong_042920_DIA_79.mzML	C_385_2	Lysate	C_2	1	N	79	C	2	385
Kong_042920_DIA_03.mzML	C_218_3	Lysate	C_3	1	N	3	C	3	218
Kong_042920_DIA_10.mzML	C_225_3	Lysate	C_3	1	N	10	C	3	225
Kong_042920_DIA_17.mzML	C_246_3	Lysate	C_3	1	N	17	C	3	246
Kong_042920_DIA_24.mzML	C_256_3	Lysate	C_3	1	N	24	C	3	256
Kong_042920_DIA_31.mzML	C_290_3	Lysate	C_3	1	N	31	C	3	290
Kong_042920_DIA_38.mzML	C_302_3	Lysate	C_3	1	N	38	C	3	302
Kong_042920_DIA_45.mzML	C_322_3	Lysate	C_3	1	N	45	C	3	322
Kong_042920_DIA_52.mzML	C_328_3	Lysate	C_3	1	N	52	C	3	328
Kong_042920_DIA_59.mzML	C_344_3	Lysate	C_3	1	N	59	C	3	344
Kong_042920_DIA_66.mzML	C_372_3	Lysate	C_3	1	N	66	C	3	372
Kong_042920_DIA_73.mzML	C_382_3	Lysate	C_3	1	N	73	C	3	382
Kong_042920_DIA_80.mzML	C_385_3	Lysate	C_3	1	N	80	C	3	385
Kong_042920_DIA_04.mzML	C_218_4	Lysate	C_4	1	N	4	C	4	218
Kong_042920_DIA_11.mzML	C_225_4	Lysate	C_4	1	N	11	C	4	225
Kong_042920_DIA_18.mzML	C_246_4	Lysate	C_4	1	N	18	C	4	246
Kong_042920_DIA_25.mzML	C_256_4	Lysate	C_4	1	N	25	C	4	256
Kong_042920_DIA_32.mzML	C_290_4	Lysate	C_4	1	N	32	C	4	290
Kong_042920_DIA_39.mzML	C_302_4	Lysate	C_4	1	N	39	C	4	302
Kong_042920_DIA_46.mzML	C_322_4	Lysate	C_4	1	N	46	C	4	322
Kong_042920_DIA_53.mzML	C_328_4	Lysate	C_4	1	N	53	C	4	328
Kong_042920_DIA_60.mzML	C_344_4	Lysate	C_4	1	N	60	C	4	344
Kong_042920_DIA_67.mzML	C_372_4	Lysate	C_4	1	N	67	C	4	372
Kong_042920_DIA_74.mzML	C_382_4	Lysate	C_4	1	N	74	C	4	382
Kong_042920_DIA_81.mzML	C_385_4	Lysate	C_4	1	N	81	C	4	385
Kong_042920_DIA_05.mzML	C_218_5	Lysate	C_5	1	N	5	C	5	218
Kong_042920_DIA_12.mzML	C_225_5	Lysate	C_5	1	N	12	C	5	225
Kong_042920_DIA_19.mzML	C_246_5	Lysate	C_5	1	N	19	C	5	246
Kong_042920_DIA_26.mzML	C_256_5	Lysate	C_5	1	N	26	C	5	256
Kong_042920_DIA_33.mzML	C_290_5	Lysate	C_5	1	N	33	C	5	290
Kong_042920_DIA_40.mzML	C_302_5	Lysate	C_5	1	N	40	C	5	302
Kong_042920_DIA_47.mzML	C_322_5	Lysate	C_5	1	N	47	C	5	322
Kong_042920_DIA_54.mzML	C_328_5	Lysate	C_5	1	N	54	C	5	328
Kong_042920_DIA_61.mzML	C_344_5	Lysate	C_5	1	N	61	C	5	344
Kong_042920_DIA_68.mzML	C_372_5	Lysate	C_5	1	N	68	C	5	372
Kong_042920_DIA_75.mzML	C_382_5	Lysate	C_5	1	N	75	C	5	382
Kong_042920_DIA_82.mzML	C_385_5	Lysate	C_5	1	N	82	C	5	385
Kong_042920_DIA_06.mzML	C_218_6	Lysate	C_6	1	N	6	C	6	218
Kong_042920_DIA_13.mzML	C_225_6	Lysate	C_6	1	N	13	C	6	225
Kong_042920_DIA_20.mzML	C_246_6	Lysate	C_6	1	N	20	C	6	246
Kong_042920_DIA_27.mzML	C_256_6	Lysate	C_6	1	N	27	C	6	256
Kong_042920_DIA_34.mzML	C_290_6	Lysate	C_6	1	N	34	C	6	290
Kong_042920_DIA_41.mzML	C_302_6	Lysate	C_6	1	N	41	C	6	302
Kong_042920_DIA_48.mzML	C_322_6	Lysate	C_6	1	N	48	C	6	322
Kong_042920_DIA_55.mzML	C_328_6	Lysate	C_6	1	N	55	C	6	328
Kong_042920_DIA_62.mzML	C_344_6	Lysate	C_6	1	N	62	C	6	344
Kong_042920_DIA_69.mzML	C_372_6	Lysate	C_6	1	N	69	C	6	372
Kong_042920_DIA_76.mzML	C_382_6	Lysate	C_6	1	N	76	C	6	382
Kong_042920_DIA_83.mzML	C_385_6	Lysate	C_6	1	N	83	C	6	385
Kong_042920_DIA_07.mzML	C_218_7	Lysate	C_7	1	N	7	C	7	218
Kong_042920_DIA_14.mzML	C_225_7	Lysate	C_7	1	N	14	C	7	225
Kong_042920_DIA_21.mzML	C_246_7	Lysate	C_7	1	N	21	C	7	246
Kong_042920_DIA_28.mzML	C_256_7	Lysate	C_7	1	N	28	C	7	256
Kong_042920_DIA_35.mzML	C_290_7	Lysate	C_7	1	N	35	C	7	290
Kong_042920_DIA_42.mzML	C_302_7	Lysate	C_7	1	N	42	C	7	302
Kong_042920_DIA_49.mzML	C_322_7	Lysate	C_7	1	N	49	C	7	322
Kong_042920_DIA_56.mzML	C_328_7	Lysate	C_7	1	N	56	C	7	328
Kong_042920_DIA_63.mzML	C_344_7	Lysate	C_7	1	N	63	C	7	344
Kong_042920_DIA_70.mzML	C_372_7	Lysate	C_7	1	N	70	C	7	372
Kong_042920_DIA_77.mzML	C_382_7	Lysate	C_7	1	N	77	C	7	382
Kong_042920_DIA_84.mzML	C_385_7	Lysate	C_7	1	N	84	C	7	385
Kong_042920_Pool.mzML	Pool_1	Lysate	Pool	1	N	169	Pool	1	Pool
Kong_042920_Pool_20200610020804.mzML	Pool_8	Lysate	Pool	1	N	176	Pool	1	Pool
Kong_042920_Pool_20200604114204.mzML	Pool_2	Lysate	Pool	1	N	170	Pool	2	Pool
Kong_042920_Pool_20200611003235.mzML	Pool_9	Lysate	Pool	1	N	177	Pool	2	Pool
Kong_042920_Pool_20200605100630.mzML	Pool_3	Lysate	Pool	1	N	171	Pool	3	Pool
Kong_042920_Pool_20200611225703.mzML	Pool_10	Lysate	Pool	1	N	178	Pool	3	Pool
Kong_042920_Pool_20200606083048.mzML	Pool_4	Lysate	Pool	1	N	172	Pool	4	Pool
Kong_042920_Pool_20200612212135.mzML	Pool_11	Lysate	Pool	1	N	179	Pool	4	Pool
Kong_042920_Pool_20200607065515.mzML	Pool_5	Lysate	Pool	1	N	173	Pool	5	Pool
Kong_042920_Pool_20200613194612.mzML	Pool_12	Lysate	Pool	1	N	180	Pool	5	Pool
Kong_042920_Pool_20200608051932.mzML	Pool_6	Lysate	Pool	1	N	174	Pool	6	Pool
Kong_042920_Pool_20200614181033.mzML	Pool_13	Lysate	Pool	1	N	181	Pool	6	Pool
Kong_042920_Pool_20200609034348.mzML	Pool_7	Lysate	Pool	1	N	175	Pool	7	Pool
Kong_042920_Pool_20200615163501.mzML	Pool_14	Lysate	Pool	1	N	182	Pool	7	Pool
Kong_042920_DIA_85.mzML	W_204_1	Lysate	W_1	1	N	85	W	1	204
Kong_042920_DIA_92.mzML	W_208_1	Lysate	W_1	1	N	92	W	1	208
Kong_042920_DIA_99.mzML	W_242_1	Lysate	W_1	1	N	99	W	1	242
Kong_042920_DIA_106.mzML	W_265_1	Lysate	W_1	1	N	106	W	1	265
Kong_042920_DIA_113.mzML	W_279_1	Lysate	W_1	1	N	113	W	1	279
Kong_042920_DIA_120.mzML	W_280_1	Lysate	W_1	1	N	120	W	1	280
Kong_042920_DIA_127.mzML	W_284_1	Lysate	W_1	1	N	127	W	1	284
Kong_042920_DIA_134.mzML	W_301_1	Lysate	W_1	1	N	134	W	1	301
Kong_042920_DIA_141.mzML	W_324_1	Lysate	W_1	1	N	141	W	1	324
Kong_042920_DIA_148.mzML	W_325_1	Lysate	W_1	1	N	148	W	1	325
Kong_042920_DIA_155.mzML	W_327_1	Lysate	W_1	1	N	155	W	1	327
Kong_042920_DIA_162.mzML	W_339_1	Lysate	W_1	1	N	162	W	1	339
Kong_042920_DIA_86.mzML	W_204_2	Lysate	W_2	1	N	86	W	2	204
Kong_042920_DIA_93.mzML	W_208_2	Lysate	W_2	1	N	93	W	2	208
Kong_042920_DIA_100.mzML	W_242_2	Lysate	W_2	1	N	100	W	2	242
Kong_042920_DIA_107.mzML	W_265_2	Lysate	W_2	1	N	107	W	2	265
Kong_042920_DIA_114.mzML	W_279_2	Lysate	W_2	1	N	114	W	2	279
Kong_042920_DIA_121.mzML	W_280_2	Lysate	W_2	1	N	121	W	2	280
Kong_042920_DIA_128.mzML	W_284_2	Lysate	W_2	1	N	128	W	2	284
Kong_042920_DIA_135.mzML	W_301_2	Lysate	W_2	1	N	135	W	2	301
Kong_042920_DIA_142.mzML	W_324_2	Lysate	W_2	1	N	142	W	2	324
Kong_042920_DIA_149.mzML	W_325_2	Lysate	W_2	1	N	149	W	2	325
Kong_042920_DIA_156.mzML	W_327_2	Lysate	W_2	1	N	156	W	2	327
Kong_042920_DIA_163.mzML	W_339_2	Lysate	W_2	1	N	163	W	2	339
