id	Protein_Name	Accession_Number	Identified_Peptide_Count	Protein_Group_Score	Description	Gene_name	Uniprot_ID
1	Group of sp|P14448|FIBA_CHICK Fibrinogen alpha chain OS=Gallus gallus (Chicken) OX=9031 GN=FGA PE=1 SV=4	sp|P14448|FIBA_CHICK (+1)	36	1	Fibrinogen alpha chain	FGA	P14448
2	tr|A0A1L1S0P1|A0A1L1S0P1_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=PIT54 PE=4 SV=2	tr|A0A1L1S0P1|A0A1L1S0P1_CHICK	17	0.9999999999999999	Uncharacterized protein	PIT54	A0A1L1S0P1
3	tr|E1BV78|E1BV78_CHICK Fibrinogen C-terminal domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=FGG PE=4 SV=2	tr|E1BV78|E1BV78_CHICK	26	0.9999999999999998	Fibrinogen C-terminal domain-containing protein	FGG	E1BV78
4	tr|A0A1L1RNR4|A0A1L1RNR4_CHICK Kininogen 1 OS=Gallus gallus (Chicken) OX=9031 GN=KNG1 PE=4 SV=2	tr|A0A1L1RNR4|A0A1L1RNR4_CHICK	17	0.9999999999999986	Kininogen 1	KNG1	A0A1L1RNR4
5	tr|F1NL38|F1NL38_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=HRG PE=4 SV=4	tr|F1NL38|F1NL38_CHICK	17	0.9999999999999984	Uncharacterized protein	HRG	F1NL38
6	tr|F1NWX6|F1NWX6_CHICK Plasminogen OS=Gallus gallus (Chicken) OX=9031 GN=PLG PE=3 SV=2	tr|F1NWX6|F1NWX6_CHICK	54	0.9999999999999731	Plasminogen	PLG	F1NWX6
7	tr|A0A1D5PNU2|A0A1D5PNU2_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=APOH PE=4 SV=1	tr|A0A1D5PNU2|A0A1D5PNU2_CHICK	14	0.9999999999999647	Uncharacterized protein	APOH	A0A1D5PNU2
8	tr|F1NK40|F1NK40_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=A2ML4 PE=4 SV=4	tr|F1NK40|F1NK40_CHICK	68	0.9999999999999192	Uncharacterized protein	A2ML4	F1NK40
9	tr|A0A1D5PV66|A0A1D5PV66_CHICK NIDO domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=LOC100857892 PE=4 SV=1	tr|A0A1D5PV66|A0A1D5PV66_CHICK	8	0.9999999999998928	NIDO domain-containing protein	LOC100857892	A0A1D5PV66
10	tr|F1NDH2|F1NDH2_CHICK SERPIN domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=AGT PE=3 SV=2	tr|F1NDH2|F1NDH2_CHICK	16	0.9999999999998231	SERPIN domain-containing protein	AGT	F1NDH2
11	tr|A0A1D5P9F9|A0A1D5P9F9_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=C3 PE=4 SV=2	tr|A0A1D5P9F9|A0A1D5P9F9_CHICK	74	0.9999999999997375	Uncharacterized protein	C3	A0A1D5P9F9
12	tr|E1BZE1|E1BZE1_CHICK Alpha 2-HS glycoprotein OS=Gallus gallus (Chicken) OX=9031 GN=AHSG PE=4 SV=1	tr|E1BZE1|E1BZE1_CHICK	7	0.9999999999997223	Alpha 2-HS glycoprotein	AHSG	E1BZE1
13	tr|A0A3Q2U3V9|A0A3Q2U3V9_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=LOC100858647 PE=4 SV=1	tr|A0A3Q2U3V9|A0A3Q2U3V9_CHICK	6	0.9999999999997167	Uncharacterized protein	LOC100858647	A0A3Q2U3V9
14	tr|F1NJT4|F1NJT4_CHICK Fibronectin OS=Gallus gallus (Chicken) OX=9031 GN=FN1 PE=4 SV=4	tr|F1NJT4|F1NJT4_CHICK	70	0.999999999999316	Fibronectin	FN1	F1NJT4
15	tr|A0A3Q2UFU8|A0A3Q2UFU8_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000048390 PE=4 SV=1	tr|A0A3Q2UFU8|A0A3Q2UFU8_CHICK	3	0.9999999999984538	Ig-like domain-containing protein	ENSGALG00000048390	A0A3Q2UFU8
16	tr|A0A3Q3AGK3|A0A3Q3AGK3_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000054874 PE=4 SV=1	tr|A0A3Q3AGK3|A0A3Q3AGK3_CHICK	2	0.9999999999980752	Ig-like domain-containing protein	ENSGALG00000054874	A0A3Q3AGK3
17	Group of sp|Q02020|FIBB_CHICK Fibrinogen beta chain OS=Gallus gallus (Chicken) OX=9031 GN=FGB PE=1 SV=1	sp|Q02020|FIBB_CHICK (+1)	31	0.9999999999974877	Fibrinogen beta chain	FGB	Q02020
