MaxQuant_name	Sample_name	Type	Group	Batch	Reference
Reporter_intensity_corrected_0_TMT1_Lysate	DMSO_Control_1	Lysate	DMSO_Control	1	N
Reporter_intensity_corrected_1_TMT1_Lysate	DMSO_Control_2	Lysate	DMSO_Control	1	N
Reporter_intensity_corrected_2_TMT1_Lysate	DMSO_Control_3	Lysate	DMSO_Control	1	N
Reporter_intensity_corrected_3_TMT1_Lysate	VCR_Control_1	Lysate	VCR_Control	1	N
Reporter_intensity_corrected_4_TMT1_Lysate	VCR_Control_2	Lysate	VCR_Control	1	N
Reporter_intensity_corrected_5_TMT1_Lysate	VCR_Control_3	Lysate	VCR_Control	1	N
Reporter_intensity_corrected_6_TMT1_Lysate	Blank_1	Lysate	Blank	1	N
Reporter_intensity_corrected_7_TMT1_Lysate	Blank_2	Lysate	Blank	1	N
Reporter_intensity_corrected_8_TMT1_Lysate	Blank_3	Lysate	Blank	1	N
Reporter_intensity_corrected_9_TMT1_Lysate	Pool_1	Lysate	Pool	1	Y
Reporter_intensity_corrected_0_TMT1_Phos	DMSO_Control_1	Phospho	DMSO_Control	1	N
Reporter_intensity_corrected_1_TMT1_Phos	DMSO_Control_2	Phospho	DMSO_Control	1	N
Reporter_intensity_corrected_2_TMT1_Phos	DMSO_Control_3	Phospho	DMSO_Control	1	N
Reporter_intensity_corrected_3_TMT1_Phos	VCR_Control_1	Phospho	VCR_Control	1	N
Reporter_intensity_corrected_4_TMT1_Phos	VCR_Control_2	Phospho	VCR_Control	1	N
Reporter_intensity_corrected_5_TMT1_Phos	VCR_Control_3	Phospho	VCR_Control	1	N
Reporter_intensity_corrected_6_TMT1_Phos	Blank_1	Phospho	Blank	1	N
Reporter_intensity_corrected_7_TMT1_Phos	Blank_2	Phospho	Blank	1	N
Reporter_intensity_corrected_8_TMT1_Phos	Blank_3	Phospho	Blank	1	N
Reporter_intensity_corrected_9_TMT1_Phos	Pool_1	Phospho	Pool	1	Y
Reporter_intensity_corrected_0_TMT2_Lysate	Blank_4	Lysate	Blank	2	N
Reporter_intensity_corrected_1_TMT2_Lysate	DMSO_PCB_1	Lysate	DMSO_PCB	2	N
Reporter_intensity_corrected_2_TMT2_Lysate	Blank_5	Lysate	Blank	2	N
Reporter_intensity_corrected_3_TMT2_Lysate	DMSO_PCB_2	Lysate	DMSO_PCB	2	N
Reporter_intensity_corrected_4_TMT2_Lysate	Blank_6	Lysate	Blank	2	N
Reporter_intensity_corrected_5_TMT2_Lysate	DMSO_PCB_3	Lysate	DMSO_PCB	2	N
Reporter_intensity_corrected_6_TMT2_Lysate	VCR_PCB_1	Lysate	VCR_PCB	2	N
Reporter_intensity_corrected_7_TMT2_Lysate	VCR_PCB_2	Lysate	VCR_PCB	2	N
Reporter_intensity_corrected_8_TMT2_Lysate	VCR_PCB_3	Lysate	VCR_PCB	2	N
Reporter_intensity_corrected_9_TMT2_Lysate	Pool_2	Lysate	Pool	2	Y
Reporter_intensity_corrected_0_TMT2_Phos	Blank_4	Phospho	Blank	2	N
Reporter_intensity_corrected_1_TMT2_Phos	DMSO_PCB_1	Phospho	DMSO_PCB	2	N
Reporter_intensity_corrected_2_TMT2_Phos	Blank_5	Phospho	Blank	2	N
Reporter_intensity_corrected_3_TMT2_Phos	DMSO_PCB_2	Phospho	DMSO_PCB	2	N
Reporter_intensity_corrected_4_TMT2_Phos	Blank_6	Phospho	Blank	2	N
Reporter_intensity_corrected_5_TMT2_Phos	DMSO_PCB_3	Phospho	DMSO_PCB	2	N
Reporter_intensity_corrected_6_TMT2_Phos	VCR_PCB_1	Phospho	VCR_PCB	2	N
Reporter_intensity_corrected_7_TMT2_Phos	VCR_PCB_2	Phospho	VCR_PCB	2	N
Reporter_intensity_corrected_8_TMT2_Phos	VCR_PCB_3	Phospho	VCR_PCB	2	N
Reporter_intensity_corrected_9_TMT2_Phos	Pool_2	Phospho	Pool	2	Y
