Sample_name	Group	Batch	Block
MTG2_V_1	MTG2_V	1	1
MTG2_V_2	MTG2_V	1	1
MTG2_T_1	MTG2_T	1	1
MTG2_T_2	MTG2_T	1	1
MTG2_T_3	MTG2_T	1	1
MTG2_T_4	MTG2_T	1	1
MTG68_V_1	MTG68_V	1	1
MTG68_V_2	MTG68_V	1	1
MTG68_T_1	MTG68_T	1	1
MTG68_T_2	MTG68_T	1	1
Pool_1	Pool	1	1
MTG1_V_1	MTG1_V	2	1
MTG1_T_1	MTG1_T	2	1
MTG1_T_2	MTG1_T	2	1
MTG1_T_3	MTG1_T	2	1
MTG1_T_4	MTG1_T	2	1
PT462_V_1	PT462_V	2	1
PT462_V_2	PT462_V	2	1
PT462_T_1	PT462_T	2	1
PT462_T_2	PT462_T	2	1
PT462_T_3	PT462_T	2	1
Pool_2	Pool	2	1
PT471_V_1	PT471_V	4	1
PT471_T_1	PT471_T	4	1
PT471_T_2	PT471_T	4	1
PT471_T_3	PT471_T	4	1
PT471_T_4	PT471_T	4	1
MTG61_V_1	MTG61_V	4	1
MTG61_V_2	MTG61_V	4	1
MTG61_T_1	MTG61_T	4	1
MTG61_T_2	MTG61_T	4	1
MTG61_T_3	MTG61_T	4	1
Pool_3	Pool	4	1
AG_V_1	AG_V	5	1
AG_V_2	AG_V	5	1
AG_T_1	AG_T	5	1
AG_T_2	AG_T	5	1
MTG43_V_1	MTG43_V	5	1
MTG43_V_2	MTG43_V	5	1
MTG43_T_1	MTG43_T	5	1
MTG43_T_2	MTG43_T	5	1
PT476_V_1	PT476_V	5	1
PT476_T_1	PT476_T	5	1
Pool_4	Pool	5	1
