MaxQuant_name	Sample_name	Type	Group	Batch	Reference	Order
Reporter_intensity_corrected_1_Lysate1	MTG2_V_1	Lysate	MTG2_V	1	N	1
Reporter_intensity_corrected_2_Lysate1	MTG2_V_2	Lysate	MTG2_V	1	N	2
Reporter_intensity_corrected_3_Lysate1	MTG2_T_1	Lysate	MTG2_T	1	N	3
Reporter_intensity_corrected_4_Lysate1	MTG2_T_2	Lysate	MTG2_T	1	N	4
Reporter_intensity_corrected_5_Lysate1	MTG2_T_3	Lysate	MTG2_T	1	N	5
Reporter_intensity_corrected_6_Lysate1	MTG2_T_4	Lysate	MTG2_T	1	N	6
Reporter_intensity_corrected_7_Lysate1	MTG68_V_1	Lysate	MTG68_V	1	N	7
Reporter_intensity_corrected_8_Lysate1	MTG68_V_2	Lysate	MTG68_V	1	N	8
Reporter_intensity_corrected_9_Lysate1	MTG68_T_1	Lysate	MTG68_T	1	N	9
Reporter_intensity_corrected_10_Lysate1	MTG68_T_2	Lysate	MTG68_T	1	N	10
Reporter_intensity_corrected_11_Lysate1	Pool_1	Lysate	Pool	1	Y	11
Reporter_intensity_corrected_1_Lysate2	MTG1_V_1	Lysate	MTG1_V	2	N	12
Reporter_intensity_corrected_2_Lysate2	MTG1_T_1	Lysate	MTG1_T	2	N	13
Reporter_intensity_corrected_3_Lysate2	MTG1_T_2	Lysate	MTG1_T	2	N	14
Reporter_intensity_corrected_4_Lysate2	MTG1_T_3	Lysate	MTG1_T	2	N	15
Reporter_intensity_corrected_5_Lysate2	MTG1_T_4	Lysate	MTG1_T	2	N	16
Reporter_intensity_corrected_6_Lysate2	PT462_V_1	Lysate	PT462_V	2	N	17
Reporter_intensity_corrected_7_Lysate2	PT462_V_2	Lysate	PT462_V	2	N	18
Reporter_intensity_corrected_8_Lysate2	PT462_T_1	Lysate	PT462_T	2	N	19
Reporter_intensity_corrected_9_Lysate2	PT462_T_2	Lysate	PT462_T	2	N	20
Reporter_intensity_corrected_10_Lysate2	PT462_T_3	Lysate	PT462_T	2	N	21
Reporter_intensity_corrected_11_Lysate2	Pool_2	Lysate	Pool	2	Y	22
Reporter_intensity_corrected_1_Lysate3	3_1	Lysate	3	3	N	23
Reporter_intensity_corrected_2_Lysate3	3_2	Lysate	3	3	N	24
Reporter_intensity_corrected_3_Lysate3	3_3	Lysate	3	3	N	25
Reporter_intensity_corrected_4_Lysate3	3_4	Lysate	3	3	N	26
Reporter_intensity_corrected_5_Lysate3	3_5	Lysate	3	3	N	27
Reporter_intensity_corrected_6_Lysate3	3_6	Lysate	3	3	N	28
Reporter_intensity_corrected_7_Lysate3	3_7	Lysate	3	3	N	29
Reporter_intensity_corrected_8_Lysate3	3_8	Lysate	3	3	N	30
Reporter_intensity_corrected_9_Lysate3	3_9	Lysate	3	3	N	31
Reporter_intensity_corrected_10_Lysate3	3_10	Lysate	3	3	N	32
Reporter_intensity_corrected_11_Lysate3	3_11	Lysate	3	3	Y	33
Reporter_intensity_corrected_1_Lysate4	PT471_V_1	Lysate	PT471_V	4	N	34
Reporter_intensity_corrected_2_Lysate4	PT471_T_1	Lysate	PT471_T	4	N	35
